CPU3  9981908220600 (+ )  rtds:schedule     [ dom:vcpu = 0x7fff0008, cur_deadline = 0x0000000000000000, cur_budget = 0x0000000000000000 ]
CPU3  9981908412921 (+ )  rtds:schedule     [ dom:vcpu = 0x00020003, cur_deadline = 0x000002aa48ca3603, cur_budget = 0x0000000000231860 ]
CPU3  9981916215122 (+ )  rtds:schedule     [ dom:vcpu = 0x7fff0008, cur_deadline = 0x0000000000000000, cur_budget = 0x0000000000000000 ]
CPU3  9981916671930 (+ )  rtds:schedule     [ dom:vcpu = 0x00020000, cur_deadline = 0x000002aa48e03a39, cur_budget = 0x000000000026253c ]
CPU3  9981925153632 (+ )  rtds:schedule     [ dom:vcpu = 0x00020001, cur_deadline = 0x000002aa48e06a70, cur_budget = 0x000000000026253c ]
CPU3  9981933634903 (+ )  rtds:schedule     [ dom:vcpu = 0x00020002, cur_deadline = 0x000002aa48e096bd, cur_budget = 0x000000000026253c ]
CPU3  9981942116996 (+ )  rtds:schedule     [ dom:vcpu = 0x7fff0008, cur_deadline = 0x0000000000000000, cur_budget = 0x0000000000000000 ]
CPU3  9981945748496 (+ )  rtds:schedule     [ dom:vcpu = 0x00020003, cur_deadline = 0x000002aa49720ec3, cur_budget = 0x0000000000231860 ]
CPU3  9981953517695 (+ )  rtds:schedule     [ dom:vcpu = 0x00020000, cur_deadline = 0x000002aa4978d0b9, cur_budget = 0x000000000026253c ]
CPU3  9981961999293 (+ )  rtds:schedule     [ dom:vcpu = 0x00020001, cur_deadline = 0x000002aa497900f0, cur_budget = 0x000000000026253c ]
CPU3  9981970480809 (+ )  rtds:schedule     [ dom:vcpu = 0x00020002, cur_deadline = 0x000002aa49792d3d, cur_budget = 0x000000000026253c ]
CPU3  9981978962651 (+ )  rtds:schedule     [ dom:vcpu = 0x7fff0008, cur_deadline = 0x0000000000000000, cur_budget = 0x0000000000000000 ]
CPU3  9981983027307 (+ )  rtds:schedule     [ dom:vcpu = 0x00020003, cur_deadline = 0x000002aa4a19e783, cur_budget = 0x0000000000231860 ]
CPU3  9981984446407 (+ )  rtds:schedule     [ dom:vcpu = 0x00020000, cur_deadline = 0x000002aa4a116739, cur_budget = 0x000000000026253c ]
CPU3  9981992928020 (+ )  rtds:schedule     [ dom:vcpu = 0x00020001, cur_deadline = 0x000002aa4a119770, cur_budget = 0x000000000026253c ]
CPU3  9982001409596 (+ )  rtds:schedule     [ dom:vcpu = 0x00020002, cur_deadline = 0x000002aa4a11c3bd, cur_budget = 0x000000000026253c ]
CPU3  9982009891684 (+ )  rtds:schedule     [ dom:vcpu = 0x00020003, cur_deadline = 0x000002aa4a19e783, cur_budget = 0x00000000001cb5e0 ]
CPU3  9982016278461 (+ )  rtds:schedule     [ dom:vcpu = 0x7fff0008, cur_deadline = 0x0000000000000000, cur_budget = 0x0000000000000000 ]
CPU3  9982018374744 (+ )  rtds:schedule     [ dom:vcpu = 0x00020000, cur_deadline = 0x000002aa4aa9fdb9, cur_budget = 0x000000000026253c ]
CPU3  9982026856414 (+ )  rtds:schedule     [ dom:vcpu = 0x00020001, cur_deadline = 0x000002aa4aaa2df0, cur_budget = 0x000000000026253c ]
CPU3  9982035342010 (+ )  rtds:schedule     [ dom:vcpu = 0x00020002, cur_deadline = 0x000002aa4aaa5a3d, cur_budget = 0x000000000026253c ]
CPU3  9982042756915 (+ )  rtds:schedule     [ dom:vcpu = 0x7fff0008, cur_deadline = 0x0000000000000000, cur_budget = 0x0000000000000000 ]
CPU3  9982190134594 (+ )  rtds:schedule     [ dom:vcpu = 0x00020000, cur_deadline = 0x000002aa4dae7df8, cur_budget = 0x00000000002621b8 ]
CPU3  9982198614155 (+ )  rtds:schedule     [ dom:vcpu = 0x00020001, cur_deadline = 0x000002aa4dae88bb, cur_budget = 0x00000000002621b8 ]
CPU3  9982207092273 (+ )  rtds:schedule     [ dom:vcpu = 0x00020002, cur_deadline = 0x000002aa4dae90f5, cur_budget = 0x00000000002621b8 ]
